window,scope,trade_size_bin,weighting,excluded_project,months,mean_standardized_bin_rate_pct,mean_standardized_reference_rate_pct,equal_month_standardized_difference_pp,equal_month_pooled_difference_pp,equal_month_matched_pooled_difference_pp,months_positive,months_negative,months_zero,observed_month_min_pp,observed_month_max_pp,inference_status,restriction
30m,exclude_primary_dominant_project,02_100_250,overlap_exposure,uniswap,30,0.6914381496507365,0.28631495069835616,0.4051231989523803,0.40444008923439184,0.40444008923439184,29,1,0,-0.01923030570845849,1.550465768508881,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,03_250_500,equal_project,uniswap,30,0.6373244513783323,0.17271273428208492,0.46461171709624743,0.6471966128213347,0.6471966128213347,30,0,0,0.07153301876623584,1.101948389134428,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,03_250_500,overlap_exposure,uniswap,30,0.9418793635431049,0.278713360054347,0.6631660034887579,0.6471966128213347,0.6471966128213347,30,0,0,0.04797010050140811,1.4932762197205653,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,04_500_1000,equal_project,uniswap,30,0.7146030080628348,0.17271273428208492,0.5418902737807498,0.6996306848702787,0.6996306848702787,29,1,0,-0.006609380139517389,1.2399692800493602,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,04_500_1000,overlap_exposure,uniswap,30,1.0184292585114172,0.26571516014071794,0.7527140983706991,0.6996306848702787,0.6996306848702787,29,1,0,-0.02373465323642623,1.5839710451100812,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,05_1000_2500,equal_project,uniswap,30,0.7960438909725622,0.17271273428208492,0.6233311566904776,0.64179157822972,0.64179157822972,29,1,0,-0.016659548395712206,1.6998888338488116,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,05_1000_2500,overlap_exposure,uniswap,30,1.0121354400315759,0.25448695933086146,0.7576484807007143,0.64179157822972,0.64179157822972,29,1,0,-0.04078221177128329,1.8275508727743066,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,06_2500_5000,equal_project,uniswap,30,0.9545516041988031,0.17271273428208492,0.7818388699167182,0.6086943505650174,0.6086943505650174,30,0,0,0.0596972251292328,2.194418659988259,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,06_2500_5000,overlap_exposure,uniswap,30,1.0075667909792216,0.23422667418406184,0.7733401167951598,0.6086943505650174,0.6086943505650174,30,0,0,0.008954597134924313,2.127319918268529,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,07_5000_10000,equal_project,uniswap,30,1.0040871096782638,0.17271273428208492,0.8313743753961786,0.5224351117561902,0.5224351117561902,30,0,0,0.03652027518354201,2.4231812280325804,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,07_5000_10000,overlap_exposure,uniswap,30,0.9633736890323719,0.21179317524785854,0.7515805137845134,0.5224351117561902,0.5224351117561902,29,1,0,-0.02242240482986553,1.93897568606815,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,08_10000_25000,equal_project,uniswap,30,1.1153521624031097,0.17271273428208492,0.942639428121025,0.5023622353937072,0.5023622353937072,28,2,0,-0.07410622450024265,2.820185002542496,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,08_10000_25000,overlap_exposure,uniswap,30,1.048286258839799,0.1731710739071316,0.8751151849326675,0.5023622353937072,0.5023622353937072,29,1,0,-0.010837586572278162,2.2957790362199013,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,09_25000_50000,equal_project,uniswap,30,1.1979400534336817,0.17271273428208492,1.0252273191515966,0.7008820250403734,0.7008820250403734,27,3,0,-0.07629768572734756,3.8315672818396034,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,09_25000_50000,overlap_exposure,uniswap,30,1.245858338090042,0.14012029172243634,1.1057380463676059,0.7008820250403734,0.7008820250403734,30,0,0,0.0324756478101121,3.171301795814034,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,10_50000_100000,equal_project,uniswap,30,1.1488095187901217,0.17271273428208492,0.9760967845080369,0.6562562072515665,0.6562562072515665,26,4,0,-0.22469914957264253,4.286369919871868,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,10_50000_100000,overlap_exposure,uniswap,30,1.2468116409109378,0.18490506219961475,1.0619065787113229,0.6562562072515665,0.6562562072515665,27,3,0,-0.46800224587441874,3.650437547844597,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,11_100000_plus,equal_project,uniswap,30,2.101661757368692,0.17271273428208492,1.9289490230866073,0.766477559241341,0.766477559241341,28,2,0,-0.24390737288915157,11.248845681777924,descriptive_sensitivity_not_a_hypothesis_test,common_bins
30m,exclude_primary_dominant_project,11_100000_plus,overlap_exposure,uniswap,30,1.3109415690243638,0.2422177591411549,1.0687238098832086,0.766477559241341,0.766477559241341,26,4,0,-0.7525027239352003,3.1340147345521916,descriptive_sensitivity_not_a_hypothesis_test,common_bins
