protocol_a,protocol_b,log_odds_difference_a_minus_b,odds_ratio_a_vs_b,ci95_low_or,ci95_high_or,t_stat,df,p_value_raw,p_value_holm_exploratory,inference_status
apeswap,uniswap,-0.7875065824758136,0.4549778318277429,0.055585516771855026,3.724078491602473,-0.7661189517591794,29,0.44979691903788277,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,verse_dex,-0.6807771156601775,0.5062234453027086,0.058942110218857605,4.347692602497924,-0.6474753737258472,29,0.5224173522610259,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,xchange,0.37201181070877287,1.450650114398014,0.11752044782289778,17.906549825050547,0.30274680989140607,29,0.7642438295800891,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,bancor,1.3823239067758397,3.9841496699524077,2.7212741536702807,5.833094240494948,7.416039058370842,29,3.58709355150761e-08,5.021930972110654e-06,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,curve,0.7839215808112482,2.1900438814320413,1.8215360983429878,2.633103020555565,8.7021670006384,29,1.39978057731217e-09,2.0856730601951335e-07,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,defiswap,-0.254573407691161,0.7752471418991698,0.5431220739433796,1.1065801959754016,-1.4631568160259492,29,0.15417950189609414,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,dodo,-2.0420679295198365,0.12976009850023024,0.08855587554342782,0.1901362620996531,-10.931705610037254,29,8.423275062357455e-12,1.3838089940379662e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,ekubo,-1.0362482453558153,0.3547832478716245,0.2796046030304738,0.4501755393369543,-8.900015284287681,29,8.662114430768477e-10,1.30797927904604e-07,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,fluid,2.0473958410363418,7.747698573732316,5.345487421527602,11.229440545996018,11.282426011756815,29,3.990880545501161e-12,6.744588121896962e-10,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,fraxswap,0.24063157497541565,1.2720522930679994,0.6416138534723909,2.521948407975241,0.7190921714648114,29,0.4778390448054265,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,kyberswap,1.0943817220690857,2.9873351089248654,0.8481657498066091,10.521730045159151,1.7777232967103542,29,0.08593859825689293,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,maverick,-0.9256259631403685,0.39628328269287066,0.29010324289473616,0.541326041635528,-6.0697771946369965,29,1.315514175031388e-06,0.00017238994315814447,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,pancakeswap,-0.6686138903373888,0.5124183537907012,0.4392523107333307,0.5977716289373821,-8.87578383979413,29,9.183996191488204e-10,1.3775994287232306e-07,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,shibaswap,-0.7827273981015409,0.45715745904375565,0.39287804486267597,0.5319537324423236,-10.564717817985683,29,1.870558189131454e-11,3.0303042663929557e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,solidly,-1.1168246155509047,0.3273175051018562,0.25492317685910676,0.4202707280920046,-9.137805124942734,29,4.898630152985647e-10,7.49490413406804e-08,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,supernova,1.4635901068537316,4.3214461658678,2.8682977853502476,6.510794332399877,7.303213077372708,29,4.815057147407304e-08,6.692929434896153e-06,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,sushiswap,-0.6334131572943965,0.5307770801419706,0.4499213558050009,0.6261634509434959,-7.838571443698314,29,1.2074690116563906e-08,1.7266806866686384e-06,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,swapr,-0.9858607823303971,0.37311791535814093,0.2105557893943967,0.661188083033112,-3.5241342007191174,29,0.0014306562866027832,0.15164956637989502,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,uniswap,-0.9565369764264321,0.38422115164562093,0.33396227678849477,0.44204361879285486,-13.954876623417919,29,2.1311157122328954e-14,4.091742167487159e-12,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,verse_dex,-0.849807509610796,0.4274972131342437,0.34003590717068616,0.5374546140087757,-7.593174837538079,29,2.266442843206136e-08,3.218348837352713e-06,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
balancer,xchange,0.2029814167581544,1.2250497026410734,0.38639729046967664,3.8839474575941857,0.3597835045943779,29,0.7216159511370586,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,curve,-0.5984023259645914,0.5496891590064693,0.39493611821851315,0.7650811298096044,-3.701642760836424,29,0.0008935473635196921,0.09650311526012674,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,defiswap,-1.6368973144670007,0.19458283601791257,0.1292891451103191,0.29285119056566394,-8.189277361668806,29,4.974898822256015e-09,7.263352280493781e-07,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,dodo,-3.4243918362956762,0.03256908230101212,0.01877390624057164,0.05650103437918324,-12.713241718384843,29,2.2002168184023304e-13,3.9383881049401716e-11,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,ekubo,-2.418572152131655,0.08904867468893621,0.06264477513640421,0.1265814498749456,-14.064530623797982,29,1.7470834801767208e-14,3.371871116741071e-12,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,fluid,0.665071934260502,1.9446304018555771,1.1744421849917583,3.219900858591452,2.6973675626321927,29,0.01152232021886651,0.9621602845480416,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,fraxswap,-1.141692331800424,0.3192782396358103,0.1499515956510134,0.6798100004363176,-3.0896748405976333,29,0.004391155527817523,0.4215509306704822,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,kyberswap,-0.28794218470675403,0.7498049411784649,0.2786257072966098,2.0177874298481218,-0.5948902480834026,29,0.5565305380900305,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,maverick,-2.307949869916208,0.09946495877942367,0.07819714420872492,0.12651712700127735,-19.621077964397532,29,2.755415677801305e-18,5.758818766604727e-16,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,pancakeswap,-2.0509377971132285,0.12861423295797575,0.08517191130367933,0.19421450882309696,-10.177560855392068,29,4.420423783577012e-11,7.0284738158874485e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,shibaswap,-2.1650513048773803,0.1147440475169741,0.08305799701994,0.15851810678045558,-13.702069055718997,29,3.3846082295494605e-14,6.39690955384848e-12,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,solidly,-2.4991485223267444,0.08215492193237965,0.061034023601767656,0.11058473289838815,-17.199723237288136,29,9.368912143568616e-17,1.9393648137187035e-14,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,supernova,0.08126620007789187,1.0846595946079058,0.6678416390979385,1.7616248632895677,0.34271790817035247,29,0.7342824805415592,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,sushiswap,-2.015737064070236,0.13322217389195398,0.10070737534432803,0.17623483439832918,-14.734300639278985,29,5.321489582508467e-15,1.0536549373366765e-12,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,swapr,-2.368184689106237,0.0936505769780978,0.0442114971922122,0.1983744303026119,-6.452935905336888,29,4.634221311029167e-07,6.256198769889376e-05,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,uniswap,-2.3388608832022717,0.09643742918177335,0.06907986982326297,0.13462934673999152,-14.337718080529017,29,1.0703214846436013e-14,2.0871268950550227e-12,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,verse_dex,-2.2321314163866357,0.10729948635171388,0.07710332620896407,0.14932144094716246,-13.814018039121377,29,2.755538201178713e-14,5.235522582239555e-12,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
bancor,xchange,-1.1793424900176852,0.3074808438749509,0.10185269763923763,0.928247081730997,-2.183056036582741,29,0.03727233760885408,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,defiswap,-1.0384949885024093,0.3539870358178603,0.2483266181633561,0.5046048726225749,-5.991166310938555,29,1.6318687852868165e-06,0.00021214294208728616,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,dodo,-2.825989510331085,0.05924999932667185,0.03861764183560659,0.09090566521785319,-13.50241564559001,29,4.89918413780351e-14,9.161474337692564e-12,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,ekubo,-1.8201698261670636,0.16199823705798824,0.1252052683515931,0.20960323120111124,-14.44960622936932,29,8.77501702885405e-15,1.7199033376553937e-12,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,fluid,1.2634742602250935,3.5376910204494147,2.4988960935938054,5.008314586689963,7.433566654787776,29,3.4271952813243865e-08,4.832345346667385e-06,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,fraxswap,-0.5432900058358325,0.5808341576408145,0.276890138628145,1.2184194076170762,-1.499846308614093,29,0.14446333425749877,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,kyberswap,0.3104601412578374,1.364052626640287,0.4000981709600547,4.6504575708995946,0.5177003251160989,29,0.6085943722323104,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,maverick,-1.7095475439516168,0.1809476449548336,0.1357423677816367,0.24120730137381524,-12.163609219926718,29,6.515912202472534e-13,1.133768723230221e-10,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,pancakeswap,-1.4525354711486371,0.2339762952400924,0.18763436054793764,0.29176376104254326,-13.459162256095341,29,5.310682412598781e-14,9.877869287433732e-12,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,shibaswap,-1.566648978912789,0.2087435155613532,0.16985245286624298,0.2565394526461555,-15.540869832974632,29,1.3423494607744032e-15,2.7115459107642946e-13,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,solidly,-1.9007461963621528,0.14945705329330095,0.11874918449428729,0.18810580362504464,-16.902340881442658,29,1.4861622404691428e-16,3.0614942153664344e-14,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,supernova,0.6796685260424833,1.9732235515948031,1.3960780108351616,2.7889639077111257,4.017548038075412,29,0.00038143956843930297,0.04424698993895915,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,sushiswap,-1.4173347381056447,0.2423591073412202,0.20076778314781868,0.2925665462370837,-15.396771948208736,29,1.709673479073708e-15,3.4364436929381535e-13,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,swapr,-1.7697823631416454,0.17037006359624354,0.09111448109503466,0.3185658110647996,-5.783455602115577,29,2.8896576066715538e-06,0.0003698761736539589,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,uniswap,-1.7404585572376803,0.17543993291786636,0.15072275484730707,0.20421050619335446,-23.44108545052455,29,2.132900604103962e-20,4.47909126861832e-18,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,verse_dex,-1.6337290904220443,0.19520029564645475,0.155128956801614,0.24562245634895483,-14.542191465640723,29,7.45160293847072e-15,1.4679657788787317e-12,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
curve,xchange,-0.5809401640530938,0.5593722176196896,0.1819908373515235,1.7193023692747467,-1.0581527009763834,29,0.29872069007837876,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,dodo,-1.7874945218286755,0.1673790092051795,0.09167250134572909,0.30560672296756075,-6.072432246317949,29,1.3059844178647308e-06,0.00017238994315814447,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,ekubo,-0.7816748376646543,0.45763889822604253,0.3352267987307954,0.6247512488932365,-5.13601852408365,29,1.737995640057244e-05,0.0022072544628727,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,fluid,2.3019692487275027,9.993843453266154,7.111285058718113,14.04484648607163,13.835573154310271,29,2.6489502419960283e-14,5.059494962212414e-12,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,fraxswap,0.49520498266657664,1.6408345472280954,0.719171895964352,3.7436641037912346,1.2278545283119269,29,0.22937478593457997,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,kyberswap,1.3489551297602467,3.853397126504214,1.1475188463277644,12.93980439804448,2.2775548655654942,29,0.03030818552819082,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,maverick,-0.6710525554492075,0.5111702594892147,0.32055957091790077,0.8151216119926487,-2.941180509006804,29,0.006365011426231283,0.5664860169345842,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,pancakeswap,-0.41404048264622784,0.6609741927398777,0.4240204255497172,1.0303439578452742,-1.907512048365156,29,0.06640197267229438,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,shibaswap,-0.5281539904103799,0.5896925436239976,0.426129525119519,0.8160366168202224,-3.325134058054524,29,0.0024054862741073576,0.24054862741073577,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,solidly,-0.8622512078597436,0.42221052798725156,0.2883784640435465,0.6181520195500986,-4.6258168175151955,29,7.168352504933327e-05,0.008530339480870659,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,supernova,1.7181635145448926,5.574281970625899,3.402861718069572,9.13132006600383,7.1199717418628685,29,7.79176665537095e-08,1.0674720317858201e-05,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,sushiswap,-0.3788397496032355,0.6846553201624115,0.5052899772983219,0.9276908873851334,-2.5505513863022102,29,0.01629640689195175,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,swapr,-0.7312873746392361,0.4812889918485754,0.26307237833750624,0.8805146900578018,-2.4760840615785162,29,0.019364165400202995,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,uniswap,-0.7019635687352711,0.4956111811059002,0.3600748554959544,0.6821649417837373,-4.493795351463442,29,0.0001032907429282127,0.0121883076655291,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,verse_dex,-0.595234101919635,0.5514334591250191,0.3976731496042342,0.7646451869964178,-3.724150841113409,29,0.000841415848127178,0.09339715914211676,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
defiswap,xchange,0.4575548244493154,1.580205377655434,0.5094884653678814,4.901090417754859,0.8267535121709579,29,0.4151277508612863,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,ekubo,1.0058196841640212,2.734147491965683,1.6131405044894518,4.6341670096419785,3.8987657907202324,29,0.0005262724497873141,0.059995059275753805,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,fluid,4.089463770556178,59.70786600257219,34.125142844211666,104.46928468127483,14.950757956850556,29,3.656285767960701e-15,7.312571535921402e-13,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,fraxswap,2.2826995044952523,9.803108257240899,5.614231239837234,17.11738034965065,8.375830517542626,29,3.1242301962847705e-09,4.5926183885386125e-07,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
dodo,kyberswap,3.136449651588922,23.021985521377857,5.783947945161153,91.63495632597096,4.6437895216247975,29,6.820132923469581e-05,0.008184159508163497,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
