window,scope,trade_size_bin,project,months,mean_difference_pp,months_positive,months_negative,months_zero
24m,all_projects,07_5000_10000,swaap,22,0.0,0,0,22
24m,all_projects,07_5000_10000,uniswap,24,2.593806121446391,24,0,0
24m,all_projects,07_5000_10000,valantis,8,0.0,0,0,8
24m,all_projects,07_5000_10000,verse_dex,23,6.94498904528776,14,9,0
24m,all_projects,07_5000_10000,xchange,6,8.139534883720929,1,0,5
24m,all_projects,08_10000_25000,0x API,16,-0.0005057991703377227,0,3,13
24m,all_projects,08_10000_25000,0x-API,24,0.0,0,0,24
24m,all_projects,08_10000_25000,1inch-LOP,24,0.0,0,0,24
24m,all_projects,08_10000_25000,airswap,20,0.0,0,0,20
24m,all_projects,08_10000_25000,balancer,24,1.2806235659630605,22,2,0
24m,all_projects,08_10000_25000,bancor,24,0.8301831094319271,11,3,10
24m,all_projects,08_10000_25000,carbon_defi,22,0.0,0,0,22
24m,all_projects,08_10000_25000,clipper,24,0.0,0,0,24
24m,all_projects,08_10000_25000,curve,24,0.6287359756154742,24,0,0
24m,all_projects,08_10000_25000,defiswap,19,1.25355181372632,2,15,2
24m,all_projects,08_10000_25000,dfx,5,0.0,0,0,5
24m,all_projects,08_10000_25000,dodo,24,2.702839036950055,23,1,0
24m,all_projects,08_10000_25000,ekubo,10,2.2946697021635587,9,0,1
24m,all_projects,08_10000_25000,eulerswap,7,0.0,0,0,7
24m,all_projects,08_10000_25000,fluid,15,7.198235918844642e-05,3,2,10
24m,all_projects,08_10000_25000,fraxswap,24,1.7806310281668747,22,1,1
24m,all_projects,08_10000_25000,integral,21,0.0,0,0,21
24m,all_projects,08_10000_25000,kyberswap,17,-0.09834233020815325,0,4,13
24m,all_projects,08_10000_25000,mauve,2,0.0,0,0,2
24m,all_projects,08_10000_25000,maverick,24,1.6872760955531074,20,1,3
24m,all_projects,08_10000_25000,native,8,0.0,0,0,8
24m,all_projects,08_10000_25000,origin_arm,24,0.0,0,0,24
24m,all_projects,08_10000_25000,pancakeswap,24,0.9233408790852077,18,6,0
24m,all_projects,08_10000_25000,shibaswap,24,5.5817478428503335,22,2,0
