window,scope,trade_size_bin,excluded_project,month,weighting,matched_projects,matched_cells,standardized_bin_rate_pct,standardized_reference_rate_pct,standardized_difference_pp,pooled_difference_pp,matched_pooled_difference_pp,interpretation
30m,all_projects,04_500_1000,,2025-09,overlap_exposure,29,49,1.1699451543920256,0.3437713345263423,0.8261738198656834,0.7904195134865727,0.7905042530901293,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-09,equal_project,29,49,0.8064487189377676,0.09839419434768952,0.708054524590078,0.7904195134865727,0.7905042530901293,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-10,overlap_exposure,28,47,1.1481120080080232,0.3512798437352221,0.796832164272801,0.7449687932566992,0.7450039913347415,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-10,equal_project,28,47,0.6096627556898977,0.18268476374552975,0.426977991944368,0.7449687932566992,0.7450039913347415,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-11,overlap_exposure,27,45,0.9622034037013558,0.36346829842941475,0.5987351052719412,0.5454693772117101,0.5455122843109398,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-11,equal_project,27,45,0.7829819128197373,0.2011286272979707,0.5818532855217665,0.5454693772117101,0.5455122843109398,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-12,overlap_exposure,28,46,0.9088662455831225,0.562100734883955,0.34676551069916745,0.30837323970032277,0.30836073186785284,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2025-12,equal_project,28,46,0.4061046904923123,0.2235149456607031,0.1825897448316092,0.30837323970032277,0.30836073186785284,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2026-01,overlap_exposure,27,45,0.8722010227227628,0.6526157754885149,0.21958524723424794,0.17055929142926257,0.1703705498597236,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2026-01,equal_project,27,45,0.7624560608322337,0.2923475085499071,0.4701085522823266,0.17055929142926257,0.1703705498597236,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2026-02,overlap_exposure,27,47,0.7388183130043132,0.561942057756122,0.17687625524819112,0.11446608094204148,0.11440806015404065,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2026-02,equal_project,27,47,0.8720008026839232,0.4610326112545095,0.41096819142941365,0.11446608094204148,0.11440806015404065,observed_standardization_no_causal_or_significance_claim
