sample,excluded_project,trade_size_bin,trade_size,full_log_odds,loo_log_odds,log_odds_change_loo_minus_full,full_odds_ratio_vs_under_100,loo_odds_ratio_vs_under_100,OR_ratio_loo_vs_full,covariance_valid,status
24m_primary_all_project_versions,defiswap,04_500_1000,$500–1k,1.460651348536876,1.4587645286160755,-0.00188681992080042,4.30876512239444,4.300642923500439,0.998114959004893,True,ok
24m_primary_all_project_versions,defiswap,05_1000_2500,$1k–2.5k,1.6237987659614566,1.6216562763083853,-0.002142489653071289,5.072322329889904,5.0614665651154915,0.9978598038396649,True,ok
24m_primary_all_project_versions,defiswap,06_2500_5000,$2.5k–5k,1.820145693432597,1.8181066575643063,-0.002039035868290684,6.172757714633513,6.160184063666187,0.9979630415531265,True,ok
24m_primary_all_project_versions,defiswap,07_5000_10000,$5k–10k,1.9746747087741696,1.9729252256904175,-0.0017494830837521125,7.204275784919845,7.191683044908131,0.9982520463697304,True,ok
24m_primary_all_project_versions,defiswap,08_10000_25000,$10k–25k,1.997572755231707,1.995880660067652,-0.0016920951640551074,7.3711427999472265,7.358680671389059,0.9983093356218445,True,ok
24m_primary_all_project_versions,defiswap,09_25000_50000,$25k–50k,1.8699601737307865,1.868294121735136,-0.0016660519956503972,6.488037999793154,6.477237590655593,0.9983353350985451,True,ok
24m_primary_all_project_versions,defiswap,10_50000_100000,$50k–100k,1.613626568679092,1.6119208881308535,-0.0017056805482384974,5.020987204633078,5.012430304169101,0.9982957732981111,True,ok
24m_primary_all_project_versions,defiswap,11_100000_plus,≥$100k,1.7461015254186734,1.7443788298563063,-0.0017226955623670381,5.732212176502031,5.72234582082661,0.9982787874259319,True,ok
24m_primary_all_project_versions,dfx,02_100_250,$100–250,0.8273084816202131,0.8273084816202243,1.1213252548714081e-14,2.287154529987947,2.2871545299879723,1.000000000000011,True,ok
24m_primary_all_project_versions,dfx,03_250_500,$250–500,1.205295906884678,1.2052959068846907,1.2656542480726785e-14,3.337746594150325,3.3377465941503672,1.0000000000000127,True,ok
24m_primary_all_project_versions,dfx,04_500_1000,$500–1k,1.460651348536876,1.4606513485368824,6.439293542825908e-15,4.30876512239444,4.308765122394467,1.0000000000000064,True,ok
24m_primary_all_project_versions,dfx,05_1000_2500,$1k–2.5k,1.6237987659614566,1.6237987659614521,-4.440892098500626e-15,5.072322329889904,5.072322329889881,0.9999999999999956,True,ok
24m_primary_all_project_versions,dfx,06_2500_5000,$2.5k–5k,1.820145693432597,1.8201456934325924,-4.6629367034256575e-15,6.172757714633513,6.172757714633485,0.9999999999999953,True,ok
24m_primary_all_project_versions,dfx,07_5000_10000,$5k–10k,1.9746747087741696,1.9746747087741887,1.9095836023552692e-14,7.204275784919845,7.204275784919982,1.000000000000019,True,ok
24m_primary_all_project_versions,dfx,08_10000_25000,$10k–25k,1.997572755231707,1.9975727552317213,1.4210854715202004e-14,7.3711427999472265,7.371142799947331,1.0000000000000142,True,ok
24m_primary_all_project_versions,dfx,09_25000_50000,$25k–50k,1.8699601737307865,1.869960173730761,-2.55351295663786e-14,6.488037999793154,6.488037999792988,0.9999999999999745,True,ok
24m_primary_all_project_versions,dfx,10_50000_100000,$50k–100k,1.613626568679092,1.613626568679087,-5.10702591327572e-15,5.020987204633078,5.0209872046330535,0.9999999999999949,True,ok
24m_primary_all_project_versions,dfx,11_100000_plus,≥$100k,1.7461015254186734,1.7461015254186718,-1.5543122344752192e-15,5.732212176502031,5.732212176502022,0.9999999999999984,True,ok
