project,candidate_trade_events,attacked_trade_events,candidate_trade_share,attack_share,relative_attack_concentration_ratio,attack_share_minus_candidate_share_pp,window,interpretation
fluid,2078125.0,1302,0.007210233004857583,0.0003037515415040787,0.04212783987694146,-0.6906481463353504,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
0x API,1747685.0,5,0.0060637430708424785,1.1664805741324067e-06,0.0001923697228765234,-0.6062576590268346,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
0x-API,1393778.0,0,0.004835832366698054,0.0,0.0,-0.4835832366698054,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
1inch-LOP,2095495.0,0,0.007270499710322546,0.0,0.0,-0.7270499710322547,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
agra,107.0,0,3.712456813328175e-07,0.0,0.0,-3.712456813328175e-05,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
airswap,212400.0,0,0.000736940025374677,0.0,0.0,-0.0736940025374677,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
carbon_defi,46775.0,0,0.00016228987611535084,0.0,0.0,-0.016228987611535083,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
clipper,132970.0,0,0.00046135082473667985,0.0,0.0,-0.04613508247366799,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
dfx,683.0,0,2.3697271060777045e-06,0.0,0.0,-0.00023697271060777044,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
eulerswap,46411.0,0,0.0001610269468816579,0.0,0.0,-0.01610269468816579,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
integral,100638.0,0,0.0003491721764296457,0.0,0.0,-0.03491721764296457,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
mauve,253.0,0,8.778052091327368e-07,0.0,0.0,-8.778052091327367e-05,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
native,915020.0,0,0.003174740404982754,0.0,0.0,-0.3174740404982754,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
origin_arm,63119.0,0,0.00021899678654248699,0.0,0.0,-0.0218996786542487,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
swaap,489467.0,0,0.001698247756120843,0.0,0.0,-0.1698247756120843,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
valantis,8110.0,0,2.813834089354346e-05,0.0,0.0,-0.002813834089354346,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
