days_since_start,volume_millions,ma7,ci_upper,ci_lower
296,183.9232190164352,201.679719323725,337.3159826255046,66.04345602194542
297,296.4905386468528,214.28188527946776,330.47404248504887,98.08972807388666
298,241.98651975270445,208.76614585075936,315.5250779993943,102.00721370212443
299,136.3526721875699,229.77756210770985,347.74973450457986,111.80538971083983
300,208.74142752122418,226.892542213459,350.6951130311805,103.08997139573752
301,234.7569332818391,214.06088262954682,322.4565498602036,105.66521539889006
302,306.1916243473433,206.54525993208676,313.2563819370897,99.83413792708379
303,163.7280797566793,205.50480547242245,315.37297916758985,95.63663177725506
304,206.66892155946755,200.9083577643503,312.73769984747315,89.07901568122746
305,189.37716087048406,207.43823832148024,332.4728465355503,82.40363010741024
306,129.0694909699195,208.0065669180362,335.071207768226,80.94192606784645
307,176.56629356471953,230.27498354342478,373.9480441672292,86.6019229196203
308,280.46609718174847,231.40248438935728,374.36246683553054,88.44250194318403
309,310.1699245232351,248.2736183861753,395.706035056044,100.84120171630656
310,319.60699613439925,258.7891951477935,374.8660410163326,142.71234927925445
311,214.56142748099512,264.8559517181892,364.8171090227228,164.8947944136556
312,307.47509884821,255.31561120515516,360.6953291172885,149.93589329302182
313,202.67852830124704,242.41806526378247,338.52441790266823,146.3117126248967
314,219.03358955748945,244.53551360621444,348.56466661245963,140.50636059996924
315,213.68371359051037,253.31226839501343,355.9543462494973,150.67019054052957
316,219.88710293362615,233.07168812098612,341.3555137352653,124.78786250670696
317,334.42913453142296,234.2867939450122,341.2169228988903,127.35666499113408
318,275.99871100258804,237.67052530975448,343.87459344967436,131.4664571698346
319,165.79103693001866,248.67834580780442,359.00042371281734,138.35626790279147
320,211.18426906942955,256.88309530945133,365.80399800020615,147.96219261869652
321,242.7197091106857,247.91607420271154,336.1941681966987,159.63798020872443
322,290.7384570768598,271.7197199159368,442.0779285261465,101.36151130572713
323,277.32034944515465,283.54053853691977,430.35815268423516,136.72292438960437
324,271.65998678424444,285.0619080951446,428.6965831882877,141.4272330020015
325,442.6242309951649,285.77362707386425,428.51259395424245,143.03466019348602
326,248.53676727689955,304.9695522512535,481.4282202145016,128.51088428800543
327,221.83385597700342,305.4891464308119,481.60315856866475,129.37513429295905
328,247.70174196172312,327.89991789382003,522.1325376929743,133.6672980946657
329,425.1099333185845,301.3401668876319,472.7547944622567,129.92553931300705
330,280.95750870206325,302.1350557644214,472.49858591689997,131.77152561194285
331,428.5353870253013,301.58284166654533,473.1328796195256,130.03280371356502
332,256.70597395184797,294.83583506382513,478.9884900580037,110.68318006964654
333,254.10098941442627,268.6919282679422,416.2151269814304,121.16872955445405
334,217.9683572918708,271.10150993605555,420.04495262913997,122.15806724297116
335,200.47269574268196,245.24691858873786,305.86012039662677,184.63371678084894
336,242.1025857474039,254.32307048672448,336.91501516509913,171.73112580834982
337,297.8245803788567,338.6432496215034,783.44333881427,10.0
338,247.55324759407736,352.2986765178774,785.9926906701011,10.0
339,320.23903723775425,360.59119012900925,783.2662208820258,10.0
340,844.3422433578788,363.08495464326046,782.814375042113,10.0
341,313.5563455664885,348.4246831253933,784.920106335856,10.0
342,258.52029102060516,346.16100173650676,785.1517052482179,10.0
343,259.5589373471624,335.69262956747303,780.7680887286006,10.0
344,195.20267975378692,248.74229817417364,319.1555309031121,178.3290654452352
345,231.7074778718709,231.5262224562237,285.621230167394,177.43121474505344
346,246.96043205451826,232.89643328480298,290.41429275289283,175.37857381671313
347,235.68992360478336,247.27179073488864,358.1818521751889,136.36172929458837
348,193.04381554083884,260.7943966473495,365.2306694979735,156.35812379672555
349,268.11176682066025,264.67985217065933,366.16808080777355,163.19162353354508
350,360.18643949776214,266.9310872141128,367.3232095581182,166.53896487010735
351,289.8609211410129,272.63583090530625,369.36321180266043,175.90845000795207
352,258.9056665350397,269.7159031371789,377.73746552963325,161.69434074472454
353,262.7190773586922,254.18143421488432,389.7594775350374,118.60339089473129
354,275.62312944313754,228.40270629488398,336.8314700430424,119.9739425467256
355,172.6043211639475,211.2929670637439,312.3045579079801,110.28137621950768
356,159.37048436459827,194.91819507148062,297.0221380868339,92.81425205612739
357,179.73534405775976,193.1223367879479,290.18165395357914,96.06301962231665
358,170.09274652303245,190.09166374950163,276.2675169046413,103.91581059436194
359,144.28226258919673,209.3979353856559,329.49455266684527,89.30131810446656
360,250.1480693739629,225.62522729906394,344.9042027337317,106.34625186439612
361,254.40841817401386,230.39714255802645,343.87364352575327,116.92064159029962
362,307.74822261702735,259.9124343644468,402.56125327954646,117.26361544934721
363,272.9615277584546,273.2633263039027,379.5837700054617,166.94288260234373
364,213.1387508704971,265.72258235732085,385.7041675786737,145.74099713596797
365,376.69978916797544,262.23369584372614,385.02108223877053,139.44630944868172
366,237.73850616538746,251.52121205813478,368.96151179104515,134.0809123252244
367,197.36286174788987,242.83922055294997,361.79572709322383,123.88271401267613
368,229.98621257885094,264.29908247900613,408.5957971164303,120.00236784158196
369,232.7608361178879,251.05708327982316,361.4890416595949,140.62512490005145
370,212.1875872221611,254.2449850873418,364.1900626906349,144.29990748404873
371,363.35778435289006,259.1040111723782,360.32319539472667,157.88482695002975
372,284.0057947736946,254.3288320852429,364.35086226486465,144.30680190562117
373,260.05381881801816,245.15091933487196,372.21140254070383,118.09043612904007
374,231.3760443431447,235.46394227505758,382.1950736637474,88.73281088636776
375,196.55995896890374,223.84749970667937,332.6666491792162,115.02835023414252
376,168.51544686529124,212.58550743569373,308.39435394011593,116.77666093127151
377,144.37874780346027,209.88585819561516,300.58667606155086,119.18504032967944
