bot_address,total_volume_usd
0xa323653234e47fa843b8c1873fa3aeadfda9bc35,7941515.926905171
0x000000d40b595b94918a28b27d1e2c66f43a51d3,7488540.152860729
0x027039bd4ea6ac7f80fef4be2d0c6b74bfa932f9,7190502.403969814
0x3c005ba2000f0000ba000d69000ac8ec003800bc,7023656.003968624
0x76b5a83c8c8097e7723eda897537b6345789b229,6934115.938301946
0x1ccdd6e0d68bd97abae46735182c7568c78857ff,6823961.727905538
0x1ba33ea2dad979486994fc7be0ad70d2e390e134,6813284.3693912495
0xb0bababe78a9be0810fadf99dd2ed31ed12568be,6673048.750238375
0xf33e9d202d2387c908b87f93979bc6cf2987662c,6653619.197799731
0x64022b5ce38aa93bb340d7d78eec8febbf42b859,6504866.81865009
0xe2228e892aae78fffd5f27d158074e888b72b5b9,6467263.466859413
0x000000000c923384110e9dca557279491e00f521,6420524.18655276
0xb026bfa88e9c4f6728e3a887c6e459a76ff183ee,6360777.35333566
0x6ca298d2983ab03aa1da7679389d955a4efee15c,6236282.627050812
0xac6a9e9ca65d4bcbea3e59c4c40128052bcc8882,6146738.897652504
0xbea29ee3bb5f025d3c7e107883cd002c420b389d,5956249.127908319
0x9d6b911199b891c55a93e4bc635bf59e33d002d8,5770089.344575993
0x1103fc560de8b710983e7f3ec09d587f3f848566,5581557.635705187
0x000000000000521fa5ddd7611a38f9dc280cd2f2,5347616.914914779
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,5347483.287586676
0x0000a89d6d8f00f90ada0000003e005eaa4df87f,5199921.629816234
0x61ab867ac84aa45fd5c81975bb00d585668e4de2,5160911.484622601
0x04c8577958ccc170eb3d2cca76f9d51bc6e42d8f,4944173.826217085
0xcb2286d9471cc185281c4f763d34a962ed212962,4901135.877452473
0x9062db3da0bf1e83acdbe5e976668c87f8fef5e1,4760146.614224161
0xbb3a72ac6a30cab98206a8e6d143c61c9780d403,4730790.215492522
0x000000000035b5e5ad9019092c665357240f594e,4596025.482282931
