victim_tier,pctile_in_tier,trades_in_bin,lower_edge_usd,upper_edge_usd,mean_usd,volume_usd,cutoff_p50,cutoff_p90
Retail,58,18770,427.30946304179037,440.83399316472077,434.1824400073625,8.149604398938195e+06,1001.8474213724877,8986.607999999998
Retail,59,18769,440.8361234251318,451.7224845725427,446.4625121727401,8.379654890970159e+06,1001.8474213724877,8986.607999999998
Retail,60,18769,451.7232446807818,462.71282817230696,457.382979825456,8.584621148343984e+06,1001.8474213724877,8986.607999999998
Retail,61,18770,462.7129123518977,473.3117228830846,468.12509442966103,8.786708022444738e+06,1001.8474213724877,8986.607999999998
Retail,62,18769,473.3127852696051,482.9822829165101,478.20694252233255,8.97546610420166e+06,1001.8474213724877,8986.607999999998
Retail,63,18769,482.98339751128714,491.428,487.2643861091414,9.145465262882475e+06,1001.8474213724877,8986.607999999998
Retail,64,18769,491.428,496.3750921200183,494.3650179101128,9.278737021154907e+06,1001.8474213724877,8986.607999999998
Retail,65,18770,496.3752084886549,499.6935796259358,498.3356337913142,9.353759846262967e+06,1001.8474213724877,8986.607999999998
Retail,66,18769,499.6936022519381,502.9432407916626,500.78336650550705,9.399203005941862e+06,1001.8474213724877,8986.607999999998
Retail,67,18769,502.94332274999994,511.4779144806099,507.0097507963046,9.516066012695841e+06,1001.8474213724877,8986.607999999998
Retail,68,18770,511.4794911349099,521.87454,516.7255929522213,9.698939379713193e+06,1001.8474213724877,8986.607999999998
Retail,69,18769,521.87454,531.8404152061133,526.6925690279436,9.885492828085473e+06,1001.8474213724877,8986.607999999998
Retail,70,18769,531.8408177263981,544.4196483301956,537.9498133871746,1.0096780047463879e+07,1001.8474213724877,8986.607999999998
Retail,71,18769,544.4211219950942,557.8214742919841,550.9726291170019,1.034120527589701e+07,1001.8474213724877,8986.607999999998
Retail,72,18770,557.8226297792933,572.6042000000001,565.1939192165387,1.0608689863694431e+07,1001.8474213724877,8986.607999999998
Retail,73,18769,572.6042855000001,586.9585259999999,579.9268666628741,1.0884647360395484e+07,1001.8474213724877,8986.607999999998
Retail,74,18769,586.958625,599.59,593.6214200485566,1.114168043289136e+07,1001.8474213724877,8986.607999999998
Retail,75,18770,599.5901369362396,612.8830342285961,605.6119675006261,1.1367336629986752e+07,1001.8474213724877,8986.607999999998
Retail,76,18769,612.8838000000001,627.3047225594205,620.1201884865432,1.1639035817703929e+07,1001.8474213724877,8986.607999999998
Retail,77,18769,627.3091440000001,642.4786685322376,634.6629467888445,1.191198884827982e+07,1001.8474213724877,8986.607999999998
Retail,78,18769,642.4789937999999,657.6844625,650.1136158051886,1.2201982455047585e+07,1001.8474213724877,8986.607999999998
Retail,79,18770,657.6849777969122,673.5465025912418,665.6272744181872,1.2493823940829374e+07,1001.8474213724877,8986.607999999998
Retail,80,18769,673.5474,688.8383632630824,681.2771702539205,1.2786891208495835e+07,1001.8474213724877,8986.607999999998
Retail,81,18769,688.840421986495,701.4760000000001,695.4653626584832,1.305318939173707e+07,1001.8474213724877,8986.607999999998
Retail,82,18769,701.4776459494112,717.6062619625819,709.1632379961148,1.331028481394908e+07,1001.8474213724877,8986.607999999998
Retail,83,18770,717.6066114,734.4308,726.0824950680894,1.3628568432428038e+07,1001.8474213724877,8986.607999999998
Retail,84,18769,734.4322700339403,749.95017245808,742.3588233934637,1.3933332756271921e+07,1001.8474213724877,8986.607999999998
Retail,85,18769,749.9513429460608,764.7568550277941,757.2048476264431,1.421197778510071e+07,1001.8474213724877,8986.607999999998
Retail,86,18770,764.7570989905009,781.9975948258277,773.3286606968095,1.4515378961279115e+07,1001.8474213724877,8986.607999999998
Retail,87,18769,781.9979999999999,797.198218554262,789.768266129415,1.482316058698299e+07,1001.8474213724877,8986.607999999998
Retail,88,18769,797.199,814.0244124999999,804.6215332475062,1.5101941557522444e+07,1001.8474213724877,8986.607999999998
Retail,89,18769,814.0244125,835.6767985575,824.8362652418336,1.5481351862323975e+07,1001.8474213724877,8986.607999999998
Retail,90,18770,835.677678804886,857.0459317862596,846.3056160505729,1.5885156413269253e+07,1001.8474213724877,8986.607999999998
Retail,91,18769,857.0464203534037,878.3125,868.0191721391154,1.6291851841879057e+07,1001.8474213724877,8986.607999999998
Retail,92,18769,878.314508228535,896.76176922,887.7525548331694,1.6662227701663755e+07,1001.8474213724877,8986.607999999998
Retail,93,18770,896.7644255039135,915.2545926479806,905.3457624634896,1.69933399614397e+07,1001.8474213724877,8986.607999999998
Retail,94,18769,915.25506837375,934.0905419999999,924.6739785992019,1.735520590432842e+07,1001.8474213724877,8986.607999999998
Retail,95,18769,934.0907,950.59,942.5650726009749,1.7691003847647697e+07,1001.8474213724877,8986.607999999998
