date,sandwich_trade_count,priced_trade_count,total_sandwich_volume_usd,unique_sandwich_bots,unique_transactions
2024-10-18,9617,9617,1.3915283555522972e+08,207,6524
2024-10-19,10898,10886,1.1093345142388484e+08,196,7309
2024-10-20,11151,11147,1.2052626583102565e+08,186,7443
2024-10-21,12112,12108,2.733671092827976e+08,255,7851
2024-10-22,11470,11470,1.5911171054868942e+08,178,7624
2024-10-23,11270,11270,1.83923291068591e+08,188,7460
2024-10-24,12463,12463,2.964905198075138e+08,212,8045
2024-10-25,12152,12148,2.4198651975270358e+08,250,8141
2024-10-26,12771,12761,1.3635267218757018e+08,206,8383
2024-10-27,10865,10863,2.087414275212231e+08,183,7478
2024-10-28,9181,9176,2.3475693328183934e+08,195,6484
2024-10-29,9570,9559,3.061916243473423e+08,185,6616
2024-10-30,10199,10180,1.6372807975667918e+08,211,7176
2024-10-31,8349,8335,2.06668921559468e+08,257,6028
2024-11-01,8924,8920,1.8937716087048382e+08,191,6360
2024-11-02,13117,13103,1.2906949096991979e+08,208,8610
2024-11-03,14399,14392,1.7656629356472197e+08,242,9068
2024-11-04,10541,10537,2.8046609718174964e+08,230,7319
2024-11-05,10863,10859,3.101699245232356e+08,235,7422
2024-11-06,9366,9360,3.196069961343975e+08,211,6489
2024-11-07,7765,7759,2.1456142748099542e+08,188,5578
2024-11-08,9640,9618,3.074750988482108e+08,194,6643
2024-11-09,10681,10675,2.0267852830124712e+08,197,7147
2024-11-10,9344,9336,2.1903358955748972e+08,206,6493
2024-11-11,7918,7909,2.1368371359051195e+08,201,5609
2024-11-12,7399,7399,2.19887102933626e+08,213,5218
2024-11-13,8284,8280,3.344291345314234e+08,170,5921
2024-11-14,7954,7946,2.759987110025881e+08,179,5609
2024-11-15,7843,7839,1.657910369300193e+08,165,5693
2024-11-16,9286,9286,2.1118426906943e+08,181,6489
2024-11-17,8768,8761,2.4271970911068618e+08,207,6191
2024-11-18,8395,8393,2.907384670609247e+08,205,6069
2024-11-19,8995,8989,2.77320349445156e+08,211,6335
2024-11-20,9449,9445,2.716599867842454e+08,193,6472
2024-11-21,8881,8875,4.426242309951653e+08,200,6258
