bot_address,total_trades,priced_trades,total_volume_usd
0x41d3ab85aafed2ef9e644cb7d3bbca2fc4d8cac8,32,32,1.1711188086092766e+07
0x63390b9e426c5539de1dc841410331fa79081063,14,14,1.1549518005834522e+07
0xf50024f746d94f144a79003d00000000e380a500,5774,5774,1.0833629840697026e+07
0xd8349e874934593c85eafa8e534b495d80848e41,40,40,1.073853386712112e+07
0xc54b77b28ee4d18cd3d93991f08b79bc85c71097,276,276,1.0697238482133364e+07
0x7869dbffeedaf7f5f164dfc6e4c47340fd0ba8a8,4,4,1.0656876689519688e+07
0x11b815efb8f581194ae79006d24e0d814b7697f6,919,919,1.0397957404187417e+07
0x091550c54ac920cba13299a543207ac27d927858,4,4,1.0045246609176453e+07
0x000000000005af2ddc1a93a03e9b7014064d3b8d,2090,2090,1.0026625226218259e+07
0xe9cbfec52ef797624ed941b0ed157607560f5167,6,6,9.827132459178004e+06
0xe38a949e5561f5a012ca1b657c7c81ba4f3c73ba,264,264,9.039855287533028e+06
0x6629e3620572bb212078103f8d3164578525962d,68,68,8.892054409059336e+06
0x2ecd8f51fa432415fe8f385b8b369f13eff16fcb,2548,2548,8.659615247029398e+06
0x3416cf6c708da44db2624d63ea0aaef7113527c6,82,82,8.608730253325012e+06
0x01fdc48ba0903bb1ae7c517c9287d88ea236f8e1,209,209,8.516789768827043e+06
0x2e564140e1609124cd7ac910cf74bbd4573886ba,7,7,8.41803859407116e+06
0x64022b5ce38aa93bb340d7d78eec8febbf42b859,1160,1155,8.353882467493847e+06
0xe9235c60bc1130c3f08c35f4fad606b88478670e,13338,13338,8.353470495008368e+06
0x0075006900ce0028c14700306f0000473ec07cc7,1338,1338,7.944416195220899e+06
0xa323653234e47fa843b8c1873fa3aeadfda9bc35,70,70,7.941515926905171e+06
0x000000d40b595b94918a28b27d1e2c66f43a51d3,2079,2079,7.488540152860728e+06
0x027039bd4ea6ac7f80fef4be2d0c6b74bfa932f9,11,11,7.190502403969814e+06
0x3c005ba2000f0000ba000d69000ac8ec003800bc,940,940,7.023656003968623e+06
0x76b5a83c8c8097e7723eda897537b6345789b229,1272,1272,6.934115938301945e+06
0x1ccdd6e0d68bd97abae46735182c7568c78857ff,260,260,6.823961727905538e+06
0x1ba33ea2dad979486994fc7be0ad70d2e390e134,6,6,6.8132843693912495e+06
0xb0bababe78a9be0810fadf99dd2ed31ed12568be,458,452,6.673048750238374e+06
0xe2228e892aae78fffd5f27d158074e888b72b5b9,6034,6028,6.6636979147672e+06
0xf33e9d202d2387c908b87f93979bc6cf2987662c,4722,4722,6.653619197799733e+06
